Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 292000  Y 444000
X 296000  Y 436000
X 280000  Y 436000
X 288000  Y 436000
X 284000  Y 428000
X 292000  Y 428000
X 300000  Y 428000
X 296000  Y 420000
X 288000  Y 420000
X 280000  Y 420000
X 291500  Y 281000
X 299500  Y 281000
X 280000  Y 274000
X 299500  Y 273000
X 291500  Y 273000
X 286000  Y 260000
X 294000  Y 260000
X 302000  Y 260000
X 298000  Y 254000
X 290000  Y 254000
X 282000  Y 254000
X 294000  Y 248000
X 286000  Y 248000
X 302000  Y 248000
X 316000  Y 88000
X 323600  Y 106800
X 310000  Y 248000
X 318000  Y 248000
X 326000  Y 248000
X 322000  Y 254000
X 314000  Y 254000
X 306000  Y 254000
X 326000  Y 260000
X 310000  Y 260000
X 318000  Y 260000
X 326000  Y 272000
X 318000  Y 272000
X 307500  Y 273000
X 307500  Y 281000
X 316000  Y 281000
X 328000  Y 336000
X 328000  Y 344000
X 328000  Y 352000
X 328000  Y 360000
X 312000  Y 396000
X 312000  Y 404000
X 312000  Y 412000
X 328000  Y 412000
X 320000  Y 412000
X 328000  Y 420000
X 312000  Y 420000
X 320000  Y 420000
X 304000  Y 436000
X 320000  Y 436000
X 312000  Y 436000
X 316000  Y 444000
X 308000  Y 444000
X 304000  Y 452000
X 336000  Y 420000
X 352000  Y 412000
X 344000  Y 412000
X 336000  Y 412000
X 344000  Y 392000
X 352000  Y 392000
X 352000  Y 384000
X 344000  Y 384000
X 352000  Y 376000
X 344000  Y 376000
X 336000  Y 360000
X 344000  Y 360000
X 352000  Y 360000
X 336000  Y 352000
X 344000  Y 352000
X 352000  Y 352000
X 336000  Y 344000
X 344000  Y 344000
X 352000  Y 344000
X 352000  Y 336000
X 344000  Y 336000
X 336000  Y 334000
X 350000  Y 316000
X 350000  Y 272000
X 334000  Y 272000
X 342000  Y 272000
X 334000  Y 260000
X 342000  Y 260000
X 350000  Y 260000
X 330000  Y 254000
X 338000  Y 254000
X 346000  Y 254000
X 342000  Y 248000
X 334000  Y 248000
X 350000  Y 248000
X 352000  Y 228000
X 352000  Y 220000
X 344000  Y 218400
X 332800  Y 217600
X 344000  Y 212000
X 352000  Y 212000
X 332800  Y 210400
X 352000  Y 200000
X 344000  Y 200000
X 344000  Y 180000
X 352000  Y 180000
X 348000  Y 172000
X 348000  Y 164000
X 342500  Y 159000
X 352000  Y 156000
X 352000  Y 124000
X 344000  Y 120000
X 350400  Y 112000
X 344000  Y 112000
X 330800  Y 106400
X 344000  Y 104000
X 350000  Y 104000
X 344000  Y 96000
X 332000  Y 96000
X 350000  Y 95600
X 344000  Y 88000
X 332000  Y 88000
X 350400  Y 87600
X 358800  Y 86800
X 356400  Y 95200
X 364400  Y 95200
X 372000  Y 164000
X 364000  Y 164000
X 356000  Y 164000
X 356000  Y 172000
X 372000  Y 172000
X 364000  Y 172000
X 360000  Y 180000
X 368000  Y 180000
X 368000  Y 200000
X 360000  Y 200000
X 368000  Y 212000
X 360000  Y 212000
X 360000  Y 220000
X 360000  Y 228000
X 366000  Y 248000
X 358000  Y 248000
X 370000  Y 254000
X 362000  Y 254000
X 354000  Y 254000
X 374000  Y 260000
X 358000  Y 260000
X 366000  Y 260000
X 374000  Y 272000
X 358000  Y 272000
X 366000  Y 272000
X 356000  Y 316000
X 362000  Y 316000
X 360000  Y 336000
X 360000  Y 344000
X 360000  Y 352000
X 360000  Y 360000
X 360000  Y 376000
X 388000  Y 376000
X 396000  Y 376000
X 404000  Y 376000
X 392000  Y 368000
X 421500  Y 352500
X 413500  Y 352500
X 421500  Y 344500
X 413500  Y 344500
X 421500  Y 336500
X 413500  Y 336500
X 396000  Y 320000
X 388000  Y 320000
X 404000  Y 320000
X 428000  Y 312000
X 402000  Y 276000
X 382000  Y 272000
X 410000  Y 270000
X 402000  Y 268000
X 410000  Y 262000
X 402000  Y 262000
X 382000  Y 260000
X 400000  Y 200000
X 400500  Y 183000
X 400000  Y 168000
X 400000  Y 160000
X 400000  Y 152000
X 408000  Y 152000
X 392000  Y 78000
X 432000  Y 86400
X 432000  Y 94400
X 432000  Y 102400
X 432000  Y 110400
X 432000  Y 118400
