"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R90","0603R","243.967mm","68.4276mm","243.967mm","68.4276mm","244.7925mm","68.4276mm","T","180.00","10K"
"R117","0603R","243.9924mm","74.0156mm","243.9924mm","74.0156mm","244.8179mm","74.0156mm","T","180.00","10K"
"R113","0603R","225.933mm","72.4916mm","225.933mm","72.4916mm","225.933mm","73.3171mm","T","270.00","10K"
"R60","0603R","17.9761mm","38.767mm","17.9761mm","38.767mm","18.8016mm","38.767mm","T","180.00","10K"
"R71","0603R","243.8908mm","52.0192mm","243.8908mm","52.0192mm","244.7163mm","52.0192mm","T","180.00","10K"
"R66","0603R","225.8878mm","50.3428mm","225.8878mm","50.3428mm","225.8878mm","51.1683mm","T","270.00","10K"
"Q6","SOT23","33.5082mm","35.8079mm","34.5331mm","34.8679mm","34.5242mm","34.8554mm","T","90.00","8050"
"Q5","SOT23","78.9996mm","36.0873mm","80.0245mm","35.1473mm","80.0156mm","35.1348mm","T","90.00","8050"
"Q3","SOT23","21.9678mm","35.8969mm","22.9926mm","34.957mm","22.9838mm","34.9444mm","T","90.00","8050"
"MAKE1","MARK1.0","232.6442mm","131.0386mm","232.6442mm","131.0386mm","232.6442mm","131.0386mm","T","90.00","MARK1.0"
"LED5","D0805","29.4442mm","34.5484mm","29.4528mm","35.6936mm","29.4442mm","35.6914mm","T","0.00","GREEN"
"LED4","D0805","75.181mm","34.4976mm","75.1896mm","35.6428mm","75.181mm","35.6406mm","T","0.00","GREEN"
"LED2","D0805","18.0396mm","34.5738mm","18.0482mm","35.719mm","18.0396mm","35.7168mm","T","0.00","GREEN"
"D15","1206D","31.3492mm","30.2326mm","31.3492mm","30.2326mm","29.6347mm","30.2326mm","T","360.00","1N4007"
"D14","1206D","77.0311mm","30.1818mm","77.0311mm","30.1818mm","75.3166mm","30.1818mm","T","360.00","1N4007"
"D12","1206D","19.9446mm","30.258mm","19.9446mm","30.258mm","18.2301mm","30.258mm","T","360.00","1N4007"
"C66","0603C","37.1912mm","33.6616mm","37.1912mm","33.6616mm","37.1912mm","32.8361mm","T","90.00","104"
"C105","0603C","227.6602mm","44.831mm","227.6602mm","44.831mm","227.6602mm","44.0055mm","T","90.00","104"
"C104","0603C","243.078mm","44.2214mm","243.078mm","44.2214mm","243.078mm","45.0469mm","T","270.00","0.1uF"
"C103","0603C","227.6602mm","77.9592mm","227.6602mm","77.9592mm","227.6602mm","77.1337mm","T","90.00","104"
"C99","0603C","243.0272mm","77.4192mm","243.0272mm","77.4192mm","243.0272mm","78.2447mm","T","270.00","0.1uF"
"C52","0603C","37.1912mm","30.3596mm","37.1912mm","30.3596mm","37.1912mm","31.1851mm","T","270.00","104"
"C68","0603C","82.5556mm","33.6108mm","82.5556mm","33.6108mm","82.5556mm","32.7853mm","T","90.00","104"
"C51","0603C","82.5556mm","30.3088mm","82.5556mm","30.3088mm","82.5556mm","31.1343mm","T","270.00","104"
"C75","0603C","174.6306mm","33.4264mm","174.6306mm","33.4264mm","174.6306mm","32.6009mm","T","90.00","104"
"C64","0603C","227.6602mm","55.9562mm","227.6602mm","55.9562mm","227.6602mm","55.1307mm","T","90.00","104"
"C63","0603C","243.1034mm","55.245mm","243.1034mm","55.245mm","243.1034mm","54.4195mm","T","90.00","104"
"C81","0603C","227.6602mm","61.595mm","227.6602mm","61.595mm","227.6602mm","60.7695mm","T","90.00","104"
"C80","0603C","243.1034mm","60.6806mm","243.1034mm","60.6806mm","243.1034mm","59.8551mm","T","90.00","104"
"C83","0603C","227.6602mm","66.9544mm","227.6602mm","66.9544mm","227.6602mm","66.1289mm","T","90.00","104"
"C82","0603C","243.1034mm","66.2686mm","243.1034mm","66.2686mm","243.1034mm","65.4431mm","T","90.00","104"
"C65","0603C","25.5326mm","33.687mm","25.5326mm","33.687mm","25.5326mm","34.5125mm","T","270.00","103"
"C98","0603C","227.6602mm","72.4916mm","227.6602mm","72.4916mm","227.6602mm","71.6661mm","T","90.00","104"
"C97","0603C","243.078mm","71.7296mm","243.078mm","71.7296mm","243.078mm","72.5551mm","T","270.00","0.1uF"
"C62","0603C","227.6602mm","50.3428mm","227.6602mm","50.3428mm","227.6602mm","49.5173mm","T","90.00","104"
"C61","0603C","243.0526mm","49.6316mm","243.0526mm","49.6316mm","243.0526mm","48.8061mm","T","90.00","104"
"C49","0603C","25.5072mm","30.5816mm","25.5072mm","30.5816mm","25.5072mm","29.7561mm","T","90.00","104"
"J9","KF2EDG-12P-3.81mm","150.2466mm","4.826mm","150.2466mm","4.826mm","129.2916mm","4.826mm","T","360.00","J?"
