"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C79","0603C","104.013mm","35.941mm","104.013mm","35.941mm","104.013mm","35.1155mm","T","90.00","104"
"C80","0603C","114.935mm","35.941mm","114.935mm","35.941mm","114.935mm","36.7665mm","T","270.00","103"
"LED3","D0805","76.3184mm","30.7318mm","76.327mm","31.877mm","76.3184mm","31.8748mm","T","0.00","RED"
"LED4","D0805","87.1134mm","30.4778mm","87.122mm","31.623mm","87.1134mm","31.6208mm","T","0.00","RED"
"LED6","D0805","108.3224mm","30.4778mm","108.331mm","31.623mm","108.3224mm","31.6208mm","T","0.00","RED"
"LED7","D0805","97.4004mm","30.6048mm","97.409mm","31.75mm","97.4004mm","31.7478mm","T","0.00","RED"
"Q5","SOT23","80.0861mm","32.7571mm","81.026mm","33.782mm","81.0386mm","33.7731mm","T","180.00","8050"
"Q6","SOT23","90.627mm","32.6301mm","91.567mm","33.655mm","91.5795mm","33.6461mm","T","180.00","8050"
"Q8","SOT23","111.7091mm","32.6301mm","112.649mm","33.655mm","112.6616mm","33.6461mm","T","180.00","8050"
"Q9","SOT23","100.787mm","32.7571mm","101.727mm","33.782mm","101.7395mm","33.7731mm","T","180.00","8050"
"R117","0603R","76.327mm","35.56mm","76.327mm","35.56mm","76.327mm","34.7345mm","T","90.00","10K"
"R118","0603R","87.122mm","35.306mm","87.122mm","35.306mm","87.122mm","34.4805mm","T","90.00","10K"
"R119","0603R","97.409mm","35.306mm","97.409mm","35.306mm","97.409mm","34.4805mm","T","90.00","10K"
"R120","0603R","108.331mm","35.306mm","108.331mm","35.306mm","108.331mm","34.4805mm","T","90.00","10K"
"R121","0603R","80.137mm","37.211mm","80.137mm","37.211mm","79.3115mm","37.211mm","T","360.00","5.1K"
"R122","0603R","90.678mm","37.084mm","90.678mm","37.084mm","89.8525mm","37.084mm","T","360.00","5.1K"
"R123","0603R","100.838mm","37.084mm","100.838mm","37.084mm","100.0125mm","37.084mm","T","360.00","5.1K"
"R124","0603R","111.76mm","36.957mm","111.76mm","36.957mm","110.9345mm","36.957mm","T","360.00","5.1K"
"R125","0603R","80.137mm","35.433mm","80.137mm","35.433mm","79.3115mm","35.433mm","T","360.00","4.7K"
"R126","0603R","90.678mm","35.306mm","90.678mm","35.306mm","89.8525mm","35.306mm","T","360.00","4.7K"
"R127","0603R","100.838mm","35.306mm","100.838mm","35.306mm","100.0125mm","35.306mm","T","360.00","4.7K"
"R128","0603R","111.76mm","35.179mm","111.76mm","35.179mm","110.9345mm","35.179mm","T","360.00","4.7K"
"J8","KF2EDG-8P-3.81mm","99.695mm","4.445mm","86.36mm","4.445mm","86.36mm","4.445mm","T","360.00","CON8"
"J2","KF2EDG-4P-3.81mm","22.098mm","4.318mm","16.383mm","4.318mm","16.383mm","4.318mm","T","360.00","HEADER 4"
"C89","0603C","33.655mm","22.86mm","33.655mm","22.86mm","33.655mm","23.6855mm","T","270.00","103"
"C90","0603C","28.448mm","14.097mm","28.448mm","14.097mm","27.6225mm","14.097mm","T","360.00","3.9nF"
"L9","LC7*7*3_L","29.083mm","28.321mm","29.083mm","28.321mm","31.683mm","28.321mm","T","180.00","22uH"
"R4","0603R","25.4mm","19.177mm","25.4mm","19.177mm","25.4mm","20.0025mm","T","270.00","1.2k¦¸"
"R3","0603R","25.4mm","22.352mm","25.4mm","22.352mm","25.4mm","23.1775mm","T","270.00","43k"
"R25","0603R","25.4mm","15.875mm","25.4mm","15.875mm","25.4mm","16.7005mm","T","270.00","10k"
"R27","0603R","31.623mm","14.097mm","31.623mm","14.097mm","30.7975mm","14.097mm","T","360.00","6.8k"
"U5","SOP8","30.1052mm","19.4542mm","32.004mm","21.971mm","32.0102mm","22.0942mm","T","270.00","EUP3484"
"BAT1","battery","40.513mm","52.298mm","40.513mm","66.548mm","40.513mm","66.548mm","T","180.00","Battery"
"R8","0603R","76.962mm","66.929mm","76.962mm","66.929mm","76.1365mm","66.929mm","T","0.00","20K"

